CUSTOM_ID,SR_ID
ID-003292,AA00000030143
ID-003292,AA00000030142
ID-003544,AA00000030141
ID-003544,AA00000030140
ID-003544,AA00000030139
ID-003544,AA00000030138
ID-003544,AA00000030137
ID-002300,AA00000030136
ID-002300,AA00000030135
ID-000657,AA00000030134
ID-000657,AA00000030133
ID-002464,AA00000030132
ID-002464,AA00000030131
ID-003546,AA00000030130
ID-003546,AA00000030129
ID-003546,AA00000030128
ID-003546,AA00000030127
ID-004876,AA00000030126
ID-002135,AA00000030125
ID-002135,AA00000030124
ID-002135,AA00000030123
ID-002135,AA00000030122
ID-002135,AA00000030121
ID-002135,AA00000030120
ID-002135,AA00000030119
ID-002135,AA00000030118
ID-002135,AA00000030117
ID-004302,AA00000030116
ID-004302,AA00000030115
ID-003598,AA00000030114
ID-001527,AA00000030113
ID-001527,AA00000030112
ID-001527,AA00000030111
ID-001559,AA00000030110
ID-000449,AA00000030109
ID-000449,AA00000030108
ID-000449,AA00000030107
ID-000449,AA00000030106
ID-000449,AA00000030105
ID-000449,AA00000030104
ID-000449,AA00000030103
ID-000449,AA00000030102
ID-000449,AA00000030101
ID-000449,AA00000030100
ID-000449,AA00000030099
ID-004104,AA00000030098
ID-004104,AA00000030097
ID-005748,AA00000030096
ID-000673,AA00000030095
ID-000673,AA00000030094
ID-003942,AA00000030093
ID-003942,AA00000030092
ID-003942,AA00000030091
ID-003942,AA00000030090
ID-003942,AA00000030089
ID-003942,AA00000030088
ID-003942,AA00000030087
ID-003942,AA00000030086
ID-003942,AA00000030085
ID-000833,AA00000030084
ID-000833,AA00000030083
ID-000833,AA00000030082
ID-000833,AA00000030081
ID-000833,AA00000030080
ID-000833,AA00000030079
ID-000833,AA00000030078
ID-000833,AA00000030077
ID-000833,AA00000030076
ID-000833,AA00000030075
ID-000833,AA00000030074
ID-000833,AA00000030073
ID-000833,AA00000030072
ID-000833,AA00000030071
ID-000833,AA00000030070
ID-000833,AA00000030069
ID-000833,AA00000030068
ID-000833,AA00000030067
ID-000833,AA00000030066
ID-000833,AA00000030065
ID-000833,AA00000030064
ID-000833,AA00000030063
ID-000833,AA00000030062
ID-000833,AA00000030061
ID-000833,AA00000030060
ID-000833,AA00000030059
ID-000833,AA00000030058
ID-000833,AA00000030057
ID-000833,AA00000030056
ID-000833,AA00000030055
ID-000833,AA00000030054
ID-000833,AA00000030053
ID-000833,AA00000030052
ID-000833,AA00000030051
ID-000833,AA00000030050
ID-000833,AA00000030049
ID-000833,AA00000030048
ID-005822,AA00000030047
ID-000153,AA00000030046
ID-005854,AA00000030045
ID-004426,AA00000030044
ID-004426,AA00000030043
ID-002505,AA00000030042
ID-002505,AA00000030041
ID-004782,AA00000030040
ID-004782,AA00000030039
ID-000684,AA00000030038
ID-000684,AA00000030037
ID-000684,AA00000030036
ID-000684,AA00000030035
ID-000684,AA00000030034
ID-000035,AA00000030033
ID-000035,AA00000030032
ID-000035,AA00000030031
ID-000035,AA00000030030
ID-000035,AA00000030029
ID-000035,AA00000030028
ID-000035,AA00000030027
ID-000035,AA00000030026
ID-000035,AA00000030025
ID-000035,AA00000030024
ID-000035,AA00000030023
ID-000035,AA00000030022
ID-000035,AA00000030021
ID-000035,AA00000030020
ID-000035,AA00000030019
ID-000035,AA00000030018
ID-000035,AA00000030017
ID-000035,AA00000030016
ID-000035,AA00000030015
ID-000035,AA00000030014
ID-000035,AA00000030013
ID-000035,AA00000030012
ID-000035,AA00000030011
ID-000035,AA00000030010
ID-000035,AA00000030009
ID-000035,AA00000030008
ID-000035,AA00000030007
ID-000035,AA00000030006
ID-000035,AA00000030005
ID-000035,AA00000030004
ID-000035,AA00000030003
ID-000035,AA00000030002
ID-000035,AA00000030001
ID-000035,AA00000030000
ID-000035,AA00000029999
ID-000035,AA00000029998
ID-000035,AA00000029997
ID-000035,AA00000029996
ID-000035,AA00000029995
ID-000035,AA00000029994
ID-000035,AA00000029993
ID-000035,AA00000029992
ID-000035,AA00000029991
ID-000035,AA00000029990
ID-000035,AA00000029989
ID-000035,AA00000029988
ID-000035,AA00000029987
ID-000035,AA00000029986
ID-000035,AA00000029985
ID-000035,AA00000029984
ID-000035,AA00000029983
ID-000035,AA00000029982
ID-000035,AA00000029981
ID-000035,AA00000029980
ID-000035,AA00000029979
ID-000035,AA00000029978
ID-000035,AA00000029977
ID-000035,AA00000029976
ID-000035,AA00000029975
ID-000035,AA00000029974
ID-000035,AA00000029973
ID-000035,AA00000029972
ID-000035,AA00000029971
ID-000035,AA00000029970
ID-000035,AA00000029969
ID-000035,AA00000029968
ID-000035,AA00000029967
ID-000035,AA00000029966
ID-000035,AA00000029965
ID-000035,AA00000029964
ID-000035,AA00000029963
ID-000035,AA00000029962
ID-000035,AA00000029961
ID-000035,AA00000029960
ID-000035,AA00000029959
ID-000035,AA00000029958
ID-000035,AA00000029957
ID-000035,AA00000029956
ID-000035,AA00000029955
ID-000035,AA00000029954
ID-000035,AA00000029953
ID-000035,AA00000029952
ID-000035,AA00000029951
ID-000035,AA00000029950
ID-000035,AA00000029949
ID-000035,AA00000029948
ID-000035,AA00000029947
ID-000035,AA00000029946
ID-000035,AA00000029945
ID-000035,AA00000029944
ID-000035,AA00000029943
ID-000035,AA00000029942
ID-000035,AA00000029941
ID-000035,AA00000029940
ID-000035,AA00000029939
ID-000035,AA00000029938
ID-000035,AA00000029937
ID-000035,AA00000029936
ID-000035,AA00000029935
ID-000035,AA00000029934
ID-000035,AA00000029933
ID-000035,AA00000029932
ID-000035,AA00000029931
ID-000035,AA00000029930
ID-000035,AA00000029929
ID-000035,AA00000029928
ID-000035,AA00000029927
ID-000035,AA00000029926
ID-000035,AA00000029925
ID-000035,AA00000029924
ID-000035,AA00000029923
ID-000035,AA00000029922
ID-000035,AA00000029921
ID-000035,AA00000029920
ID-000035,AA00000029919
ID-000035,AA00000029918
ID-000035,AA00000029917
ID-000035,AA00000029916
ID-000035,AA00000029915
ID-000035,AA00000029914
ID-000035,AA00000029913
ID-000035,AA00000029912
ID-000035,AA00000029911
ID-000035,AA00000029910
ID-000035,AA00000029909
ID-000035,AA00000029908
ID-000035,AA00000029907
ID-000035,AA00000029906
ID-000035,AA00000029905
ID-000035,AA00000029904
ID-000035,AA00000029903
ID-000035,AA00000029902
ID-000035,AA00000029901
ID-000035,AA00000029900
ID-000035,AA00000029899
ID-000035,AA00000029898
ID-000035,AA00000029897
ID-000035,AA00000029896
ID-004545,AA00000029895
ID-004545,AA00000029894
ID-004545,AA00000029893
ID-004545,AA00000029892
ID-004545,AA00000029891
ID-004545,AA00000029890
ID-002503,AA00000029889
ID-002503,AA00000029888
ID-002503,AA00000029887
ID-002503,AA00000029886
ID-003269,AA00000029885
ID-003269,AA00000029884
ID-003269,AA00000029883
ID-001278,AA00000029882
ID-001278,AA00000029881
ID-003671,AA00000029880
ID-005919,AA00000029879
ID-001592,AA00000029878
ID-001592,AA00000029877
ID-001592,AA00000029876
ID-001592,AA00000029875
ID-002478,AA00000029874
ID-002478,AA00000029873
ID-000566,AA00000029872
ID-000566,AA00000029871
ID-000566,AA00000029870
ID-000566,AA00000029869
ID-000566,AA00000029868
ID-000566,AA00000029867
ID-000566,AA00000029866
ID-000566,AA00000029865
ID-000566,AA00000029864
ID-000566,AA00000029863
ID-000566,AA00000029862
ID-000566,AA00000029861
ID-000566,AA00000029860
ID-000566,AA00000029859
ID-000566,AA00000029858
ID-000566,AA00000029857
ID-000566,AA00000029856
ID-000566,AA00000029855
ID-000566,AA00000029854
ID-000566,AA00000029853
ID-000566,AA00000029852
ID-000566,AA00000029851
ID-000566,AA00000029850
ID-000566,AA00000029849
ID-000566,AA00000029848
ID-000566,AA00000029847
ID-000566,AA00000029846
ID-000566,AA00000029845
ID-000566,AA00000029844
ID-000566,AA00000029843
ID-001414,AA00000029842
ID-001414,AA00000029841
ID-001414,AA00000029840
ID-001414,AA00000029839
ID-001414,AA00000029838
ID-001414,AA00000029837
ID-001414,AA00000029836
ID-001414,AA00000029835
ID-001414,AA00000029834
ID-005840,AA00000029833
ID-001725,AA00000029832
ID-001725,AA00000029831
ID-001725,AA00000029830
ID-001725,AA00000029829
ID-001725,AA00000029828
ID-001725,AA00000029827
ID-001725,AA00000029826
ID-001725,AA00000029825
ID-001725,AA00000029824
ID-001725,AA00000029823
ID-001725,AA00000029822
ID-001725,AA00000029821
ID-001725,AA00000029820
ID-001725,AA00000029819
ID-001725,AA00000029818
ID-001725,AA00000029817
ID-001725,AA00000029816
ID-001725,AA00000029815
ID-001725,AA00000029814
ID-001725,AA00000029813
ID-001725,AA00000029812
ID-001725,AA00000029811
ID-001725,AA00000029810
ID-005327,AA00000029809
ID-004168,AA00000029808
ID-002046,AA00000029807
ID-002046,AA00000029806
ID-005827,AA00000029805
ID-001306,AA00000029804
ID-004494,AA00000029803
ID-004494,AA00000029802
ID-004494,AA00000029801
ID-004494,AA00000029800
ID-004994,AA00000029799
ID-001878,AA00000029798
ID-001878,AA00000029797
ID-002525,AA00000029796
ID-002525,AA00000029795
ID-003063,AA00000029794
ID-003063,AA00000029793
ID-003923,AA00000029792
ID-003923,AA00000029791
ID-003923,AA00000029790
ID-003923,AA00000029789
ID-003923,AA00000029788
ID-003923,AA00000029787
ID-003923,AA00000029786
ID-003923,AA00000029785
ID-003923,AA00000029784
ID-004456,AA00000029783
ID-004456,AA00000029782
ID-003201,AA00000029781
ID-003201,AA00000029780
ID-003201,AA00000029779
ID-002589,AA00000029778
ID-002589,AA00000029777
ID-002808,AA00000029776
ID-002808,AA00000029775
